60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,X,X
61,2,A,,E,,C,,,,G,,,,,,C,,,,,,,,,,,,,,,X,X,X
62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,X,,X
63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X,X
64,2,,D,,,E,,J,,,,,,,,,,,,,,,,,,,,,,,X,X,X
65,2,E,,A,,,,,,G,,C,,,,D,,A,,,,A,,,,,,B,,H,X,,X
66,1,D,B,,D,,A,G,C,A,,,C,A,,,,,D,C,B,C,,,,,,,,,X,X,X
67,1,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X,X,
70,1,,,,,,,,,,,,,,,,,,,C,C,B,B,,C,,,,,,X,,X
71,1,E,,G,,,,A,,,,,,,,,,,,,,,,,,,,,,,X,X,X
72,2,,,,,,,,,,,,,,,,B,,,,,D,,A,,,,,,A,,X,X
73,2,,,,,H,,E,,,,,,,,,,,,,,,,,,,,,,,X,X,X
74,1,E,,,D,,,,B,,,,,,,,,B,,,,,,,,,,,,,X,,X
75,1,,E,,,F,,,,,,,,,,,,,,A,,E,,C,,,B,,C,I,X,,
76,1,,,,,,A,J,B,,,,,B,B,,,C,B,A,,,,,,,,,,,X,X,X
77,2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,X,X
79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,X,X,X
80,2,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,X,X,X
81,2,,,,,,,C,,E,,,,,,,A,,,B,,C,,A,,,,B,,F,X,X,X
82,2,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,X,X,X
83,2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,X,X,X
84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B,,X,X
85,2,,D,,,A,,A,,,,,,,,,,,,,,,,,,,,,,B,X,X,X
86,2,,,D,,D,,,,H,,C,,,,C,,,,,,C,,,,,,,,,X,X,X
87,2,,,,,,,,,,,,,B,,,,,C,,,,,,,,,,,K,X,X,X
88,2,,,,,H,,K,,,,A,,,,,,A,,,,,,,,,,,,,X,X,X
89,2,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,X,X,X
90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,X,X,
91,1,D,,D,,I,,F,,,,,,A,,,,C,,A,,E,,C,,,,A,,,,X,X
92,2,,C,,B,,A,F,,,,,A,,B,,D,,,,,,A,,,,,,,,X,X,X
93,1,A,C,,,,B,H,C,G,,B,,,,,,,,,,,,,,,,,,,X,,X
94,2,,,,,,,,,,,,,,,,,,B,,A,,A,,B,,A,,A,,X,X,X
95,2,,,,,,,,,,A,,,,,,,,D,,,,,,,,,,,K,,X,X
96,1,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,X,X,X
97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,X,X
98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
99,2,,,,,,,G,,,,,,,,,,,D,B,B,D,,,A,,,,E,,X,X,
100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,X,X,X
101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,X,,X
102,2,,,,,,,,,,,,,,,,,,D,,,A,,,C,,,,E,,X,X,X
103,2,,,,D,,C,,B,,,,,,,,,,,,,,,,,,,,,,X,X,X
104,2,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,X,X,X
105,1,A,B,D,C,D,A,A,A,D,,,A,C,A,D,C,,B,,C,,,,A,,B,A,C,C,,X,
106,2,C,,G,,,,,,C,,,,,,,,,,,,,,,,,,,,,X,X,X
107,1,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,X,X,X
108,1,B,B,,C,,C,C,B,F,A,B,A,D,B,,,,,,,,,,,,,,,,X,X,X
109,1,D,A,,,,C,,,,,,,,,,,B,,,,,,,,,,,,,X,X,X
110,2,,,,,G,,K,,H,,C,,D,,E,,B,,,,,,,,,,,,,X,X,X
111,2,,,,,,,G,,,,,,,,,,B,,,,,,,,,,,,E,X,,X
112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,X,,X
113,2,,,,,,,,,,,,,,,,A,D,B,,C,A,C,B,A,,A,C,D,G,X,,
114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,X,X,X
115,1,,,,,,,,,,,B,,C,,,,,,,A,,B,,A,,B,,A,,X,X,X
116,2,,,,,,,,,,,,,,,,,,,,A,B,B,C,A,,B,,A,,X,X,
117,2,,,,,,,,,,,,,,,,,,,,,,B,B,B,,C,B,B,E,X,,
118,1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,X,X,X
