1,E,,,D,,,,B,,,,,,,,,B,,,,,,,,,,,,
1,,E,,,F,,,,,,,,,,,,,,A,,E,,C,,,B,,C,I
1,,,,,,A,J,B,,,,,B,B,,,C,B,A,,,,,,,,,,
2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
2,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,
2,,,,,,,C,,E,,,,,,,A,,,B,,C,,A,,,,B,,F
2,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,
2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,B
2,,D,,,A,,A,,,,,,,,,,,,,,,,,,,,,,B
2,,,D,,D,,,,H,,C,,,,C,,,,,,C,,,,,,,,
2,,,,,,,,,,,,,B,,,,,C,,,,,,,,,,,K
2,,,,,H,,K,,,,A,,,,,,A,,,,,,,,,,,,
2,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
1,D,,D,,I,,F,,,,,,A,,,,C,,A,,E,,C,,,,A,,
2,,C,,B,,A,F,,,,,A,,B,,D,,,,,,A,,,,,,,
1,A,C,,,,B,H,C,G,,B,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,B,,A,,A,,B,,A,,A,
2,,,,,,,,,,A,,,,,,,,D,,,,,,,,,,,K
1,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
2,,,,,,,G,,,,,,,,,,,D,B,B,D,,,A,,,,E,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
2,,,,,,,,,,,,,,,,,,D,,,A,,,C,,,,E,
2,,,,D,,C,,B,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,
1,A,B,D,C,D,A,A,A,D,,,A,C,A,D,C,,B,,C,,,,A,,B,A,C,C
2,C,,G,,,,,,C,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,
1,B,B,,C,,C,C,B,F,A,B,A,D,B,,,,,,,,,,,,,,,
1,D,A,,,,C,,,,,,,,,,,B,,,,,,,,,,,,
