	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
105	130	131.0	4.0	5.0	8.0	9.0	10.0	11.0	16.0	18.0	20.0	26.0	28.0	29.0	36.0	38.0	47.0	49.0	50.0	52.0	54.0	57.0	58.0	60.0	61.0	63.0	65.0	66.0	67.0	70.0	71.0	75.0	76.0	79.0	84.0	85.0	86.0	91.0	92.0	93.0	94.0	95.0	99.0	104.0	105.0	108.0	113.0	115.0	116.0	117.0	120.0	122.0
106	129	35.0	5.0	71.0	106.0	18.0	31.0																																													
107	107	108.0	18.0	115.0	93.0																																															
108	130	3.0	4.0	11.0	18.0	19.0	20.0	25.0	26.0	27.0	35.0	36.0	50.0	52.0	66.0	74.0	76.0	81.0	82.0	92.0	93.0	95.0	96.0	103.0	105.0	107.0	108.0	109.0	110.0	115.0	120.0	122.0																				
109	66	2.0	3.0	35.0	130.0	36.0	103.0	74.0	11.0	108.0	109.0	110.0	111.0	121.0	91.0	25.0																																				
110	65	3.0	4.0	37.0	6.0	74.0	11.0	108.0	109.0	110.0	111.0	20.0	86.0	88.0	89.0	27.0																																				
111	66	99.0	98.0	74.0	109.0	110.0	111.0	14.0	113.0	117.0	25.0																																									
112	65	39.0	72.0	41.0	42.0	112.0	114.0	58.0	123.0																																											
113	128	1.0	4.0	5.0	11.0	20.0	32.0	36.0	39.0	43.0	46.0	47.0	49.0	56.0	57.0	65.0	70.0	74.0	76.0	81.0	90.0	94.0	97.0	98.0	99.0	102.0	105.0	111.0	113.0	115.0	116.0	117.0	119.0	120.0	121.0	122.0																
114	72	41.0	42.0	112.0	114.0	58.0																																														
115	1	130.0	4.0	6.0	8.0	9.0	11.0	18.0	20.0	38.0	49.0	70.0	75.0	93.0	94.0	99.0	105.0	107.0	108.0	113.0	115.0	116.0	117.0	122.0	124.0																											
116	0	1.0	130.0	4.0	6.0	8.0	9.0	20.0	38.0	44.0	49.0	54.0	70.0	75.0	91.0	94.0	99.0	105.0	113.0	115.0	116.0	117.0	122.0	124.0																												
117	130	4.0	9.0	14.0	20.0	32.0	34.0	36.0	47.0	57.0	65.0	69.0	70.0	75.0	81.0	90.0	94.0	99.0	105.0	111.0	113.0	115.0	116.0	117.0	119.0	120.0	122.0																									
118	75	15.0	17.0	118.0	91.0	127.0																																														
119	66	99.0	4.0	101.0	6.0	70.0	8.0	47.0	81.0	113.0	117.0	22.0	119.0	86.0	57.0	55.0																																				
120	96	4.0	36.0	70.0	40.0	105.0	108.0	113.0	82.0	20.0	117.0	120.0	122.0	95.0																																						
121	128	130.0	35.0	36.0	70.0	102.0	11.0	43.0	109.0	113.0	20.0	56.0	121.0	122.0	30.0																																					
122	1	130.0	131.0	16.0	20.0	36.0	38.0	40.0	54.0	57.0	66.0	70.0	75.0	76.0	81.0	84.0	92.0	94.0	99.0	102.0	105.0	108.0	113.0	115.0	116.0	117.0	120.0	121.0	122.0																							
123	112	65.0	123.0	39.0																																																
124	1	78.0	47.0	49.0	115.0	116.0	124.0	94.0																																												
125	8	48.0	125.0																																																	
126	66	126.0	23.0																																																	
127	66	75.0	12.0	15.0	17.0	52.0	118.0	26.0	91.0	127.0																																										
128	128	66.0	130.0	4.0	103.0	8.0	74.0	43.0	45.0	113.0	93.0	56.0	121.0	61.0																																						
129	64	129.0	2.0	6.0	71.0	106.0	76.0	80.0	18.0	52.0	87.0	30.0	31.0																																							
130	128	1.0	130.0	4.0	5.0	9.0	11.0	18.0	20.0	26.0	27.0	31.0	35.0	36.0	38.0	47.0	54.0	65.0	66.0	70.0	73.0	75.0	77.0	93.0	99.0	105.0	108.0	109.0	115.0	116.0	117.0	121.0	122.0																			
131	131	36.0	105.0	75.0	16.0	81.0	84.0	54.0	57.0	122.0																																										
